parameter,value,units,role,status,justification,limitation
$\alpha$,0.03,Gy^-1,Local LQ survival coefficient,fixed main,Fixed reference setting,"Nominal framework parameter used for hypothesis-generating risk analysis, not a biologically validated constant."
$\beta$,0.003,Gy^-2,Local LQ survival coefficient,fixed main,Fixed reference setting,"Nominal framework parameter used for hypothesis-generating risk analysis, not a biologically validated constant."
$D_{\mathrm{ROS}}$,0.8,voxel^2 / step,ROS-like diffusion coefficient,fixed main + Phase 38 sweep,Inherited phenomenological coefficient,"Nominal framework parameter used for hypothesis-generating risk analysis, not a biologically validated constant."
$D_{\mathrm{cyto}}$,1.2,voxel^2 / step,Cytokine-like diffusion coefficient,fixed main + Phase 38 sweep,Inherited phenomenological coefficient,"Nominal framework parameter used for hypothesis-generating risk analysis, not a biologically validated constant."
$\lambda_{\mathrm{ROS}}$,0.2,step^-1,ROS-like decay coefficient,fixed main + Phase 38 sweep,Inherited phenomenological coefficient,"Nominal framework parameter used for hypothesis-generating risk analysis, not a biologically validated constant."
$\lambda_{\mathrm{cyto}}$,0.001,step^-1,Cytokine-like decay coefficient,fixed main + Phase 38 sweep,Inherited phenomenological coefficient,"Nominal framework parameter used for hypothesis-generating risk analysis, not a biologically validated constant."
"$E_{\max,\mathrm{ROS}}$",1.5,a.u.,ROS-like emission ceiling,fixed main + Phase 38 sweep,Inherited phenomenological coefficient,"Nominal framework parameter used for hypothesis-generating risk analysis, not a biologically validated constant."
"$E_{\max,\mathrm{cyto}}$",0.8,a.u.,Cytokine-like emission ceiling,fixed main + Phase 38 sweep,Inherited phenomenological coefficient,"Nominal framework parameter used for hypothesis-generating risk analysis, not a biologically validated constant."
$\gamma$,0.35,Gy^-1,Dose-to-emission saturation coefficient,fixed main + Phase 38 sweep,Inherited phenomenological coefficient,"Nominal framework parameter used for hypothesis-generating risk analysis, not a biologically validated constant."
$s$,0.0029365813,a.u.,Non-local transfer scaling coefficient,fixed main + Phase 38 sweep,Internally calibrated transfer coefficient,Internally calibrated transfer coefficient; not externally validated.
$w_{\mathrm{ROS}}$,0.4,dimensionless,ROS-like hazard weight,fixed main,Inherited phenomenological reference weight,"Nominal framework parameter used for hypothesis-generating risk analysis, not a biologically validated constant."
$w_{\mathrm{cyto}}$,0.4,dimensionless,Cytokine-like hazard weight,fixed main,Inherited phenomenological reference weight,"Nominal framework parameter used for hypothesis-generating risk analysis, not a biologically validated constant."
Tumour cytokine multiplier,2.0,dimensionless,Tumour-state emission modifier,fixed main,Anatomy/state-dependent modifier,"Nominal framework parameter used for hypothesis-generating risk analysis, not a biologically validated constant."
Hypoxic ROS scale,1.0,dimensionless,$M_{\mathrm{oxygen}}$ modifier for ROS-like channel,sensitivity only,Anatomy/state-dependent modifier,Removed from the primary oxygen-neutral model and retained only as sensitivity.
Hypoxic cytokine multiplier,1.0,dimensionless,$M_{\mathrm{oxygen}}$ modifier for cytokine-like channel,sensitivity only,Anatomy/state-dependent modifier,Removed from the primary oxygen-neutral model and retained only as sensitivity.
Arterial ROS uptake,0.05,dimensionless,Artery-localized first-order ROS loss,fixed main + Phase 38 sweep,Anatomy-aware sink coefficient,"Nominal framework parameter used for hypothesis-generating risk analysis, not a biologically validated constant."
Arterial cytokine uptake,0.7,dimensionless,Artery-localized first-order cytokine loss,fixed main + Phase 38 sweep,Anatomy-aware sink coefficient,"Nominal framework parameter used for hypothesis-generating risk analysis, not a biologically validated constant."
Venous ROS uptake,0.05,dimensionless,Vein-localized first-order ROS loss,fixed main + Phase 38 sweep,Anatomy-aware sink coefficient,"Nominal framework parameter used for hypothesis-generating risk analysis, not a biologically validated constant."
Venous cytokine uptake,0.9,dimensionless,Vein-localized first-order cytokine loss,fixed main + Phase 38 sweep,Anatomy-aware sink coefficient,"Nominal framework parameter used for hypothesis-generating risk analysis, not a biologically validated constant."
Immune scalar,0.0,dimensionless,Exploratory global immune penalty from earlier branches,removed from main,Removed in revision because it was not independently constrained or spatially resolved.,Not part of the primary revision model.
