plan_id,metric,label,baseline_delta,mean_delta,min_delta,max_delta,p2_5_delta,p97_5_delta,prob_same_sign_as_baseline
case01,ptv_d95,PTV D95,-0.4509553909301758,-0.5380721275623028,-0.876617431640625,-0.29697418212890625,-0.8091306209564209,-0.3304267644882203,1.0
case02,ptv_d95,PTV D95,-0.8280841827392571,-1.0035733149601864,-1.670576572418213,-0.5807426452636726,-1.5327931690216068,-0.6160058689117436,1.0
case03,ptv_d95,PTV D95,-1.2884058952331543,-1.7838354110717773,-4.111982345581055,-0.612908124923706,-3.6177204608917237,-0.7043671607971194,1.0
case04,ptv_d95,PTV D95,-4.388918685913085,-5.504963258596566,-10.628936767578125,-2.6714753150939927,-9.551438159942627,-2.8661285591125485,1.0
case05,ptv_d95,PTV D95,-1.0625319480895996,-1.3466645314143244,-3.556063652038574,-0.6370474815368645,-2.947043704986572,-0.7111693477630613,1.0
case06,ptv_d95,PTV D95,-0.8717815399169933,-1.079895041539119,-2.178934478759764,-0.44897041320800746,-1.978675289154052,-0.47108654975891084,1.0
case07,ptv_d95,PTV D95,-1.450747776031493,-1.6848410753103407,-2.9581541061401353,-0.853604793548584,-2.701341876983642,-0.9294182968139652,1.0
case08,ptv_d95,PTV D95,-0.9318122863769531,-1.4281502246856688,-4.193935203552247,-0.5134300708770745,-3.5028657531738285,-0.5780684900283809,1.0
case09,ptv_d95,PTV D95,-0.3547080993652365,-0.7607896217933072,-2.451221084594728,-0.14609642028808523,-2.0414752197265633,-0.1757609367370599,1.0
case10,ptv_d95,PTV D95,-1.0600109100341797,-1.5864445796379676,-3.930079460144043,-0.49509382247924805,-3.3872844696044924,-0.5693976640701296,1.0
case01,pvdr,PVDR,0.011852277987734139,0.011331307055225056,0.00942210506375507,0.013848581363179013,0.009587005565529761,0.013541840388428516,1.0
case02,pvdr,PVDR,0.016209130970037178,0.015392849268362272,0.01257655830151605,0.01920114977797116,0.012718635874503281,0.018690410517301,1.0
case03,pvdr,PVDR,-0.10925336269929153,-0.10746618106349332,-0.14016295808613277,-0.07678846454932176,-0.1382115507276938,-0.07838502839498551,1.0
case04,pvdr,PVDR,0.16280518451829562,0.15551554308649335,0.1252262099235768,0.19898121392243628,0.1270210932091858,0.1912259840823819,1.0
case05,pvdr,PVDR,-0.10358766094028415,-0.10455432316782175,-0.13179855945614327,-0.07766381107101616,-0.13027154133995938,-0.07863738748510773,1.0
case06,pvdr,PVDR,0.021337123207028297,0.021280100465731016,0.018519235302763004,0.02508249842056065,0.01876340669061678,0.024935945267541237,1.0
case07,pvdr,PVDR,0.03339946709947461,0.032046049901715376,0.02679795251861039,0.0385706747878225,0.027248433139309847,0.03809832618687603,1.0
case08,pvdr,PVDR,-0.1090941870036446,-0.10805092236993309,-0.13790391146073588,-0.07883708527588795,-0.1364169452146574,-0.08060358535284724,1.0
case09,pvdr,PVDR,-0.07391678472066188,-0.07298738806575365,-0.0926474835512423,-0.055594864897405616,-0.0909789748588383,-0.05635966193857802,1.0
case10,pvdr,PVDR,-0.06728454213782076,-0.06732542878825476,-0.08485452273193661,-0.04985564712417667,-0.08367842084148983,-0.051034323600461784,1.0
case01,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.29247750416277896,-0.33833528311444844,-0.5597434258883354,-0.1953032961214216,-0.5156554543357761,-0.20809468603940381,1.0
case02,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.2824585534981985,-0.326689872869076,-0.5329667983714401,-0.19020897721170904,-0.4949397303467773,-0.20213537863826353,1.0
case03,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.7083528514221555,-0.8281614504042515,-1.3508479940462124,-0.466354550880272,-1.271083541255824,-0.49993040523675925,1.0
case04,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-1.5882744806113003,-1.7986525149759676,-2.8599651140158606,-1.0443376665868556,-2.6727558063073253,-1.1152459717702983,1.0
case05,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.6146280188068793,-0.7116856352160154,-1.1529946158375886,-0.4075553441084647,-1.077715270585512,-0.43672375738208574,1.0
case06,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.541461210851022,-0.6326249718222429,-1.0375383884614493,-0.36757578794285806,-0.9666959929266767,-0.3887393354545644,1.0
case07,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.7036393258874902,-0.8175744334383447,-1.3371473735352382,-0.47459510194807564,-1.2424762873474768,-0.506488326630289,1.0
case08,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.652358258074603,-0.75816292487598,-1.2328878457597696,-0.4315035261774156,-1.1533254590605195,-0.46300168385452634,1.0
case09,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.22516106603552544,-0.2612917842137984,-0.4232174779105051,-0.14514533822587516,-0.39787140947090227,-0.15770444303194842,1.0
case10,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,-0.38259397956112906,-0.44486659167521536,-0.717380827059074,-0.2516838666695449,-0.6755316082411429,-0.2713565209554876,1.0
case01,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,-0.26327739926965243,-0.30637826834940224,-0.5043106176057286,-0.17585387833341137,-0.4661469896217145,-0.18870251215737643,1.0
case02,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,-0.23825967586006058,-0.2783382795047637,-0.45622543518983605,-0.15760293654903812,-0.4254213505396166,-0.1702216390327076,1.0
case03,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,-0.3661158581242745,-0.433886507865974,-0.7096672982475489,-0.2412535159350071,-0.6708321147543395,-0.2622044277988023,1.0
case04,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,-0.550041602952831,-0.6297898728046026,-0.9964203251598249,-0.352155303024702,-0.9370500129062919,-0.3884385530605239,1.0
case05,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,-0.36195045025580264,-0.4229244307624286,-0.6871286162367696,-0.24066712842215487,-0.6439697789429204,-0.2603690272649644,1.0
case06,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,-0.4374341867480638,-0.5123683008958119,-0.836502984844028,-0.2935959506339394,-0.7831085976452264,-0.3152537000965586,1.0
case07,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,-0.7230681211694012,-0.8441614580326665,-1.3805321216696065,-0.4879197939112867,-1.2840706891276916,-0.5230545918442883,1.0
case08,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,-0.4966657086103261,-0.5793040628628815,-0.9384502487433757,-0.33257924837317,-0.8787865077623742,-0.35906423459491943,1.0
case09,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,-0.2688752361346616,-0.315880595044514,-0.5256781632153427,-0.17646823531835842,-0.48802946255980223,-0.19031082985113115,1.0
case10,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,-0.1887602188614963,-0.22251365982521393,-0.3612834976176451,-0.12395733878064519,-0.34116901056837073,-0.1352877515434717,1.0
case01,cord_d2,Cord D2,-0.11323917388916094,-0.13381499803983235,-0.22267730712890454,-0.07146665573120092,-0.21127725219726443,-0.07210263252258313,1.0
case02,cord_d2,Cord D2,-0.08122940063476491,-0.0914305613591126,-0.12903007507324205,-0.04096435546875021,-0.12716880798339894,-0.04325202941894606,1.0
case03,cord_d2,Cord D2,-0.0877142333984402,-0.1069577437180736,-0.1847865295410145,-0.04071853637695,-0.17383979797363125,-0.04388323974609208,1.0
case04,cord_d2,Cord D2,-0.11199867248535256,-0.13200790992149955,-0.18405303955078267,-0.05542274475097386,-0.1789724578857431,-0.060030387878416046,1.0
case05,cord_d2,Cord D2,-0.12312240600585866,-0.11523867680476321,-0.17262344360351278,-0.04471778869628906,-0.16719313049316326,-0.04560070037841797,1.0
case06,cord_d2,Cord D2,-0.11295387268066648,-0.13382718599759627,-0.18749198913574006,-0.06081809997558629,-0.18640617370605278,-0.06589266204833938,1.0
case07,cord_d2,Cord D2,-0.09600708007812386,-0.11808148310734595,-0.18608047485351165,-0.03844352722168054,-0.1799014892578093,-0.04319770050048889,1.0
case08,cord_d2,Cord D2,-0.13107658386230625,-0.13552214989295364,-0.1877369689941375,-0.048468246459961506,-0.18766901397704885,-0.05562556457519607,1.0
case09,cord_d2,Cord D2,-0.0779172515869142,-0.07593325101412172,-0.10551979064941008,-0.02860511779785213,-0.1049202346801735,-0.030463157653808186,1.0
case10,cord_d2,Cord D2,-0.08961074829101534,-0.10947340158315746,-0.1622816467285162,-0.05441787719726321,-0.16002539825439505,-0.0550468444824201,1.0
case01,brainstem_d2,Brainstem D2,-0.1502285766601581,-0.19001810514009995,-0.3552568054199199,-0.0880722045898441,-0.32106655120849475,-0.0997484283447273,1.0
case02,brainstem_d2,Brainstem D2,-0.13486915588378778,-0.16332319406362572,-0.27894058227539276,-0.05342689514159815,-0.2679783782958996,-0.062419891357417635,1.0
case03,brainstem_d2,Brainstem D2,-0.21467178344726534,-0.1834975902850819,-0.3397424316406301,-0.05909530639648608,-0.33601138305664335,-0.06851399993896623,1.0
case04,brainstem_d2,Brainstem D2,-0.0641049194335892,-0.07338240990271917,-0.11914474487304716,-0.029850463867187926,-0.11722341918945248,-0.03382929992675906,1.0
case05,brainstem_d2,Brainstem D2,-0.19411666870117017,-0.1553517092191251,-0.26505477905273267,-0.036977920532226705,-0.2581977081298813,-0.041952186584472896,1.0
case06,brainstem_d2,Brainstem D2,-0.3804283142089844,-0.393366540762095,-0.6334165191650385,-0.22048709869384808,-0.5869615859985352,-0.2461985054016115,1.0
case07,brainstem_d2,Brainstem D2,-0.20053581237792883,-0.1973607400747449,-0.23677528381347557,-0.10108444213867251,-0.23640769958495972,-0.1162328033447276,1.0
case08,brainstem_d2,Brainstem D2,-0.35221755981445213,-0.4072684361384463,-0.7395306396484429,-0.22938613891601278,-0.6762863769531297,-0.24119648742675504,1.0
case09,brainstem_d2,Brainstem D2,-0.3396649932861351,-0.22266971881573,-0.4580133056640605,-0.06917472839355554,-0.4563635711669917,-0.06996544647216822,1.0
case10,brainstem_d2,Brainstem D2,-0.16231628417968835,-0.21901743962214526,-0.34469665527343807,-0.09452713012695213,-0.34349111175537284,-0.10545594024658025,1.0
case01,parotid_r_mean,Parotid R mean,-0.4106293957642837,-0.4713359089534971,-0.7438403158476881,-0.26226919925574066,-0.6985779791167304,-0.2953658228209524,1.0
case02,parotid_r_mean,Parotid R mean,-0.17025171289540308,-0.202371353406543,-0.34337863247803924,-0.08856621402682685,-0.3150658529936662,-0.10701557480927677,1.0
case03,parotid_r_mean,Parotid R mean,-0.7717229534881263,-0.8515563902599267,-1.2706370074339581,-0.48254461770105905,-1.2139116672554393,-0.5343059507042477,1.0
case04,parotid_r_mean,Parotid R mean,-0.7008116828070747,-0.7869706474354585,-1.20922136595755,-0.44332476192050585,-1.1449806022644045,-0.49295630768092036,1.0
case05,parotid_r_mean,Parotid R mean,-0.751357398370299,-0.8149924938495337,-1.2020841232453918,-0.4355847618796602,-1.1510321736576568,-0.4841178836244521,1.0
case06,parotid_r_mean,Parotid R mean,-0.6402172377615294,-0.7284185140560834,-1.110584952614527,-0.42518144183688555,-1.0592217341336354,-0.4695053644854606,1.0
case07,parotid_r_mean,Parotid R mean,-0.5280681581208206,-0.6077511016027627,-0.9373856111006305,-0.34998286468814044,-0.8959610268563939,-0.3892305881808496,1.0
case08,parotid_r_mean,Parotid R mean,-0.7248381296793625,-0.807123861335097,-1.2244969917066229,-0.42844972706804185,-1.1692020728371404,-0.47835749751389484,1.0
case09,parotid_r_mean,Parotid R mean,-0.7092592335710606,-0.7720762500303522,-1.1605718631937094,-0.40171475651288446,-1.1091260247278736,-0.4475694718023747,1.0
case10,parotid_r_mean,Parotid R mean,-0.7622028678354589,-0.8152917725593429,-1.1954935362844736,-0.42607185094043665,-1.1511131217262947,-0.4760378423363288,1.0
