plan_id,case_label,site_group,mode,mode_label,mean_gammah2ax_peak,mean_gammah2ax_valley,mean_tunel_peak,mean_tunel_valley,cytokine_global_auc,cytokine_peak_roi_auc,cytokine_valley_roi_auc
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,physical_only,Physical-only,0.6238512396812439,0.3325668275356293,0.6238512396812439,0.3325668275356293,0.0,0.0,0.0
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,bystander_no_sink,"Bystander, no vascular sink",0.7615830302238464,0.5470425486564636,0.9640308022499084,0.8562735915184021,82.81216430664062,1679.8399658203125,1111.782470703125
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,bystander_with_sink,"Bystander, anatomical vascular sink",0.7615829110145569,0.546611487865448,0.9640064835548401,0.8492162227630615,79.93109893798828,1679.351318359375,1091.86767578125
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,physical_only,Physical-only,0.6222640872001648,0.3247654139995575,0.6222640872001648,0.3247654139995575,0.0,0.0,0.0
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,bystander_no_sink,"Bystander, no vascular sink",0.759600818157196,0.5399884581565857,0.9651814699172974,0.8607612252235413,110.10175323486328,1708.4814453125,1149.0380859375
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,bystander_with_sink,"Bystander, anatomical vascular sink",0.7596072554588318,0.5394459962844849,0.9650638699531555,0.8518794178962708,105.71437072753906,1705.5703125,1117.6773681640625
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,physical_only,Physical-only,0.6408873200416565,0.3750283718109131,0.6408873200416565,0.3750283718109131,0.0,0.0,0.0
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,bystander_no_sink,"Bystander, no vascular sink",0.7707595825195312,0.5742456316947937,0.9657719731330872,0.8732610940933228,128.9051055908203,1682.3553466796875,1185.1934814453125
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,bystander_with_sink,"Bystander, anatomical vascular sink",0.7676523327827454,0.5741788148880005,0.9202998876571655,0.8536472320556641,119.17645263671875,1120.3782958984375,1045.399658203125
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,physical_only,Physical-only,0.6241697072982788,0.30650126934051514,0.6241697072982788,0.30650126934051514,0.0,0.0,0.0
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,bystander_no_sink,"Bystander, no vascular sink",0.7633538246154785,0.5334232449531555,0.9560229778289795,0.8471531271934509,78.96884155273438,1531.5118408203125,1103.9599609375
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,bystander_with_sink,"Bystander, anatomical vascular sink",0.7634751200675964,0.5288645625114441,0.9548945426940918,0.770954430103302,70.52503967285156,1508.7706298828125,825.6610717773438
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,physical_only,Physical-only,0.6072246432304382,0.2934485077857971,0.6072246432304382,0.2934485077857971,0.0,0.0,0.0
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,bystander_no_sink,"Bystander, no vascular sink",0.7475727796554565,0.5171476602554321,0.95928955078125,0.8524522185325623,120.20389556884766,1631.2427978515625,1145.2216796875
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,bystander_with_sink,"Bystander, anatomical vascular sink",0.7458776235580444,0.5176424384117126,0.9243404865264893,0.8329248428344727,111.63992309570312,1119.097900390625,1039.68408203125
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,physical_only,Physical-only,0.6245397925376892,0.3553992211818695,0.6245397925376892,0.3553992211818695,0.0,0.0,0.0
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,bystander_no_sink,"Bystander, no vascular sink",0.7556801438331604,0.5635106563568115,0.9532389640808105,0.8730839490890503,115.21324157714844,1479.078125,1206.1314697265625
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,bystander_with_sink,"Bystander, anatomical vascular sink",0.7558378577232361,0.563081681728363,0.9532389640808105,0.8630006313323975,110.61604309082031,1479.077392578125,1158.9549560546875
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,physical_only,Physical-only,0.6059675216674805,0.2685689926147461,0.6059675216674805,0.2685689926147461,0.0,0.0,0.0
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,bystander_no_sink,"Bystander, no vascular sink",0.7496376633644104,0.5006975531578064,0.9609290957450867,0.8477311730384827,126.39210510253906,1658.9993896484375,1123.9053955078125
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,bystander_with_sink,"Bystander, anatomical vascular sink",0.7496727108955383,0.4997602701187134,0.9608498811721802,0.8322819471359253,120.49156951904297,1657.298828125,1065.723388671875
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,physical_only,Physical-only,0.62791907787323,0.376740962266922,0.62791907787323,0.376740962266922,0.0,0.0,0.0
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,bystander_no_sink,"Bystander, no vascular sink",0.7614369988441467,0.5741271376609802,0.9633004665374756,0.8759458065032959,146.60556030273438,1663.1680908203125,1211.9896240234375
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,bystander_with_sink,"Bystander, anatomical vascular sink",0.7589870691299438,0.5742477178573608,0.921928882598877,0.8580834269523621,136.6371612548828,1112.1168212890625,1085.132568359375
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,physical_only,Physical-only,0.6515526175498962,0.34481725096702576,0.6515526175498962,0.34481725096702576,0.0,0.0,0.0
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,bystander_no_sink,"Bystander, no vascular sink",0.7727411389350891,0.5548386573791504,0.9574385285377502,0.8730201125144958,129.5098419189453,1528.836669921875,1224.0362548828125
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,bystander_with_sink,"Bystander, anatomical vascular sink",0.7706443071365356,0.5551624298095703,0.9260433912277222,0.8639247417449951,122.88113403320312,1192.31396484375,1155.285888671875
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,physical_only,Physical-only,0.6341351866722107,0.3717471659183502,0.6341351866722107,0.3717471659183502,0.0,0.0,0.0
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,bystander_no_sink,"Bystander, no vascular sink",0.7652727961540222,0.5719357132911682,0.9633848071098328,0.8895478248596191,194.061279296875,1638.6763916015625,1314.19482421875
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,bystander_with_sink,"Bystander, anatomical vascular sink",0.7625673413276672,0.5714721083641052,0.9249739646911621,0.8734583258628845,181.70852661132812,1254.213134765625,1190.61328125
