plan_id,physical_rank,no_sink_rank,with_sink_rank,no_sink_vs_physical_shift,with_sink_vs_physical_shift,with_sink_vs_no_sink_shift,physical_risk_score,no_sink_risk_score,with_sink_risk_score
case01,2,1,1,-1,-1,0,-5.0382579386400215,-5.644072051419335,-5.791357424822479
case02,3,3,2,0,-1,-1,-2.245855756571696,-4.040009075584208,-4.337619895938288
case03,9,8,8,-1,-1,0,3.8051861467221983,2.9222596598569335,3.6338706457905525
case04,4,4,4,0,0,0,-1.2412083141216046,-0.5537344123550086,-2.380980082036521
case05,5,5,6,0,1,1,-0.8603046842174225,0.7567881638914777,1.2268463721195277
case06,7,6,5,-1,-2,-1,1.445279533608693,1.084818465396196,0.16492679492587486
case07,1,2,3,1,2,1,-5.394933681127745,-4.069234102296179,-4.272076253367085
case08,8,7,7,-1,-1,0,3.5463851799403843,1.9148532010644672,2.4868975329464744
case09,6,9,9,3,3,0,1.0582620183395424,3.1680844598013875,3.6725335776693724
case10,10,10,10,0,0,0,4.925447467562638,4.460245691644254,5.596958732712563
